scheme_name,category,state,target_group,description,eligibility,benefits,application_process,documents_required
PM Kisan Samman Nidhi,Agriculture,Central,Farmers,Direct income support scheme for small and marginal farmers across India providing Rs.6000 per year,"Indian farmer | Owns cultivable land | Small or marginal farmer | Should not be income tax payer | Should not hold constitutional post | Land should be in farmer's name","Rs. 6000 per year in 3 installments of Rs. 2000 each every 4 months | Direct bank transfer to Aadhaar-linked account","1. Visit pmkisan.gov.in | 2. Click Farmers Corner | 3. Click New Farmer Registration | 4. Enter Aadhaar number and state | 5. Fill land and bank details | 6. Submit","Aadhaar card | Land ownership documents (Khatoni/Patta) | Bank account passbook | Mobile number linked to Aadhaar"
PM Fasal Bima Yojana,Agriculture,Central,Farmers,Crop insurance scheme providing financial support to farmers suffering crop loss due to unforeseen events like flood drought pest attack,"Active farmer | Own or leasehold land | Growing notified crops in notified areas | Loanee farmers compulsorily covered | Non-loanee farmers can voluntarily enroll","Insurance coverage for crop loss | Sum insured equal to scale of finance | Premium 2% for Kharif 1.5% for Rabi 5% for commercial crops | Claim settled within 2 months of harvest","1. Visit pmfby.gov.in or nearest bank or CSC | 2. Fill application before cutoff date | 3. Pay premium | 4. Get policy document | 5. Report crop loss within 72 hours","Aadhaar card | Bank passbook | Land records (Khasra/Khatoni) | Sowing certificate | Mobile number"
Kisan Credit Card,Agriculture,Central,Farmers,Provides timely and adequate credit to farmers for agricultural needs at subsidized interest rates of 4% per annum,"Any farmer engaged in agriculture | Allied activities like animal husbandry fisheries | Tenant farmers oral lessees share croppers | Self Help Groups of farmers","Credit up to Rs. 3 lakh at 7% interest | Additional 3% interest subvention making effective rate 4% | Free accident insurance | Flexible repayment","1. Visit nearest bank (SBI PNB any nationalized bank) | 2. Fill KCC application | 3. Submit documents | 4. Bank verifies land records | 5. KCC issued within 14 days","Aadhaar card | PAN card | Land ownership or lease documents | Passport photos | Bank account details | Caste certificate if applicable"
PM Kisan Maan Dhan Yojana,Pension,Central,Farmers,Pension scheme for small and marginal farmers providing guaranteed Rs. 3000 monthly pension after age 60,"Age 18 to 40 years | Small or marginal farmer with land up to 2 hectares | Not covered under any other pension scheme | Not income tax payer","Monthly pension of Rs. 3000 after age 60 | Spouse gets Rs. 1500 per month if farmer dies | Government contributes equal amount to pension corpus | Lifetime pension","1. Visit nearest CSC (Common Service Centre) | 2. Carry Aadhaar and bank passbook | 3. CSC operator enrolls online | 4. Monthly contribution auto-debited | 5. Pension card issued","Aadhaar card | Bank account passbook | Mobile number | Land records"
PM KUSUM Solar Pump Scheme,Agriculture,Central,Farmers,Solar pump scheme for reliable irrigation reducing diesel expenses for farmers through solar energy,"Farmer with agricultural land | Apply through state nodal agency | Beneficiary contributes 10% of cost | Bank loan for 60% | Government subsidy 30%","Solar pump installation on farm | Reduced irrigation cost | Extra electricity sold to DISCOM | 25 year plant life | Saves Rs. 50000 per year on diesel","1. Apply on state agriculture department portal | 2. Fill application with land details | 3. Pay 10% contribution | 4. Bank loan sanctioned | 5. Solar pump installed within 90 days","Aadhaar card | Land records | Bank passbook | Mobile number | Electricity bill"
Paramparagat Krishi Vikas Yojana,Agriculture,Central,Farmers,Organic farming promotion scheme providing Rs. 50000 per hectare for 3 years for adopting organic farming,"Farmer group of minimum 50 farmers | Contiguous land of 50 acres | Willing to adopt organic farming for 3 years | District agriculture department registration required","Rs. 50000 per hectare for 3 years | Rs. 31000 for organic input production | Rs. 8800 for organic certification | Rs. 3000 for value addition and packaging | Market linkage support","1. Form farmer group of 50 members | 2. Register with district agriculture officer | 3. Submit application | 4. Training provided | 5. Funds released in installments","Aadhaar card | Land records | Bank passbook | Group registration certificate | Mobile number"
PM Kisan Credit Card for Fishermen,Fisheries,Central,Fishermen,Kisan Credit Card extended to fishermen and fish farmers for working capital needs at subsidized interest rates,"Fisherman with fishing vessel | Marine or inland fisheries | Registered fishing vessel | Valid fishing license","Credit limit based on scale of finance | 7% interest with 2% subvention | Flexible repayment | Insurance coverage | Working capital for fishing activities","1. Visit nearest bank with fisheries department recommendation | 2. Fill KCC application | 3. Submit fishing license and vessel documents | 4. Bank verifies | 5. KCC issued within 14 days","Aadhaar card | Fishing license | Vessel registration | Bank passbook | Passport photo"
PM Matsya Sampada Yojana,Fisheries,Central,Fishermen,Scheme to enhance fish production infrastructure and export covering all Indian states with Rs. 20050 crore outlay,"Fishermen fish farmers fishing cooperative | Fish vendors processors | Age above 18 | Applied through state fisheries department","Subsidy on boats engines nets | Insurance for fishing vessels | Training | Market linkage | Cold storage infrastructure | Rs. 20050 crore total outlay","1. Apply through state fisheries department portal | 2. Fill application with vessel details | 3. Submit documents | 4. District fisheries officer verifies | 5. Subsidy credited to bank","Aadhaar card | Fisherman identity card | Vessel registration | Bank passbook | Passport photo | Caste certificate if applicable"
National Scholarship Portal Central Sector Scheme,Education,Central,Students,Scholarship for college students from low income families scoring above 80 percentile in Class 12 board exams,"Scored above 80 percentile in Class 12 board exam | Family income less than Rs. 8 lakh per annum | Studying in regular degree course | Not availing any other scholarship","Rs. 12000 per year for undergraduate students | Rs. 20000 per year for postgraduate students | Paid directly to bank account | Renewed every year based on performance","1. Visit scholarships.gov.in | 2. Register with mobile and Aadhaar | 3. Fill scholarship application | 4. Upload documents | 5. Institute verifies | 6. Amount credited","Aadhaar card | Class 12 marksheet | Income certificate | Bank passbook | Admission proof | Caste certificate if applicable | Passport photo"
Post Matric Scholarship for SC Students,Education,Central,SC Students,Scholarship for Scheduled Caste students pursuing post-matriculation courses with full fee reimbursement and maintenance allowance,"Scheduled Caste student | Annual family income below Rs. 2.5 lakh | Studying in Class 11 or above | Government or recognized private institution | Not availing other scholarship","Full tuition fee reimbursement | Maintenance allowance Rs. 380 to Rs. 1200 per month | Study tour charges | Thesis charges for research students","1. Visit scholarships.gov.in | 2. Register and select Post Matric Scholarship SC | 3. Fill application | 4. Upload documents | 5. Institute verifies | 6. State approves and disburses","Aadhaar card | Caste certificate | Income certificate | Previous year marksheet | Admission proof | Bank passbook | Hostel certificate if applicable"
