scheme_name,category,state,target_group,description,eligibility,benefits,application_process,documents_required,official_source
PM-USP Central Sector Scheme of Scholarship for College and University Students,Students,Central,College and university students,Merit-cum-means scholarship support for higher education.,Eligible students meeting academic and income criteria.,Scholarship support for higher education.,Apply through National Scholarship Portal / official process.,Academic records; income proof; ID proof; bank details.,https://www.myscheme.gov.in/
Prime Minister's Scholarship Scheme,Students,Central,Wards/widows of ex-servicemen,Scholarship for professional and technical education.,As per PMSS eligibility rules.,Scholarship amount for studies.,Apply through official PMSS process.,Service proof; academic records; bank details.,https://www.myscheme.gov.in/
National Means-cum-Merit Scholarship Scheme,Students,Central,School students,Scholarship support for meritorious students from economically weaker sections.,Eligible school students under scheme rules.,Scholarship for continuing education.,Apply through official scholarship portal.,Marksheet; income proof; ID proof.,https://www.myscheme.gov.in/
Pre-Matric Scholarship for Students with Disabilities,Disability,Central,School students with disabilities,Financial assistance for school education.,Students with benchmark disabilities under scheme rules.,Scholarship assistance.,Apply through official scholarship portal.,Disability certificate; marksheet; ID proof.,https://www.myscheme.gov.in/
Post-Matric Scholarship for Students with Disabilities,Disability,Central,Post-matric students with disabilities,Financial assistance for post-school education.,Students with benchmark disabilities under scheme rules.,Scholarship assistance.,Apply through official scholarship portal.,Disability certificate; academic records; ID proof.,https://www.myscheme.gov.in/
Top Class Education for Students with Disabilities,Disability,Central,Higher education students with disabilities,Support for quality higher education.,Eligible students in approved institutions.,Tuition and related support.,Apply through official scholarship portal.,Admission proof; disability certificate; income proof.,https://www.myscheme.gov.in/
PM-KISAN,Farmers,Central,Small and marginal farmers,Income support to eligible farmer families.,Landholding farmers under PM-KISAN rules.,Income support installments.,Apply via PM-KISAN process.,Land records; Aadhaar; bank details.,https://www.myscheme.gov.in/
Pradhan Mantri Fasal Bima Yojana,Farmers,Central,Farmers,Crop insurance support against yield loss.,Farmers cultivating notified crops in notified areas.,Insurance coverage for crop loss.,Enroll through bank/insurance/official process.,Land/loan/crop details; ID proof.,https://www.myscheme.gov.in/
Kisan Credit Card,Farmers,Central,Farmers,Short-term credit support for agriculture and allied activities.,Eligible farmers and allied activity beneficiaries.,Access to working capital credit.,Apply through bank.,KYC; land/crop details; bank forms.,https://www.myscheme.gov.in/
Soil Health Card Scheme,Farmers,Central,Farmers,Provides soil nutrient status and fertilizer recommendations.,Farmers under soil sampling programme.,Soil health advisory.,Through agriculture department process.,Land details; sample information.,https://www.myscheme.gov.in/
National Beekeeping and Honey Mission,Farmers,Central,Beekeepers and farmers,Support for beekeeping value chain and productivity.,Eligible beneficiaries under mission guidelines.,Assistance/subsidy/training support.,Apply through implementing agency.,ID proof; proposal; bank details.,https://www.myscheme.gov.in/
Stand Up India Scheme,Entrepreneurs,Central,Women and SC/ST entrepreneurs,Bank loans for greenfield enterprises.,Eligible women/SC/ST entrepreneurs.,Composite loan support.,Apply through bank / Stand Up India portal.,Business plan; KYC; bank documents.,https://www.myscheme.gov.in/
